,Name,IsCoalition
1,Ram Ben Barak,0
2,Orna Barbivay ,0
3,Yulia Malinovsky,0
4,Hamad Amar,0
5,Merav Michaeli,0
6,Heba Yazbak,0
7,Nitzan Horowitz,0
8,Ofer Cassif,0
9,Yorai Lahav Hertzanu,0
10,Gadeer Kamal-Mreeh,0
11,Yoav Segalovitz,0
12,Evgeny Sova,0
13,Ofir Sofer,0
14,Mansour Abbas,0
15,Orly Froman,0
16,Moshe Ya`alon,0
17,Idan Roll,0
18,Elazar Stern,0
19,Yair Lapid,0
20,Mtanes Shihadeh,0
21,Avigdor Liberman,0
22,Meir Cohen,0
23,Ahmad Tibi,0
24,Yoel Razvozov,0
25,Ofer Shelah,0
26,Sondos Saleh ,0
27,Iman Khatib Yassin,0
28,Karine Elharrar,0
29,Andrey Kozhinov,0
30,Alex Kushnir,0
31,Mickey Levy,0
32,Yair Golan,0
33,Matan Kahana,0
34,Boaz Toporovsky,0
35,Ayelet Shaked,0
36,Naftali Bennett,0
37,Jaber Asakla,0
38,Samy Abu Shahadeh,0
39,Waleed Taha,0
40,Tamar Zandberg,0
41,Oded Forer,0
42,Bezalel Smotrich,0
43,Saeed Alkharumi,0
44,Ayman Odeh,0
45,Aida   Touma Sliman,0
46,Yousef Jabareen,0
47,Osama Saadi,0
48,Eli Avidar,0
49,Michael Mordechai  Biton ,1
50,Gila Gamliel,1
51,May Golan,1
52,Keren Barak,1
53,Nir Barkat,1
54,Gideon Sa'ar,1
55,David Bitan,1
56,Benjamin Gantz,1
57,Uzi Dayan,1
58,Zvi Hauser,1
59,Eitan Ginzburg,1
60,Yoaz Hendel,1
61,David Amsalem,1
62,Asaf Zamir,1
63,Moshe Gafni,1
64,Yaakov Tesler,1
65,Itzik Shmuli,1
66,Chili  Tropper,1
67,Omer Yankelevitch,1
68,Gilad Erdan,1
69,Meirav Cohen,1
70,Yuli Yoel Edelstein,1
71,Ofir Katz,1
72, Desta Gadi Yevarkan,1
73,Fateen Mulla,1
74,Yakov Litzman,1
75,Avi Nissenkorn,1
76,Etty Hava Atia,1
77,Israel Eichler,1
78,Yakov Margi,1
79,Orit Farkash Hacohen,1
80,Shlomo Karhi,1
81,Alon Schuster,1
82,Miki Haimovich,1
83,Kathrin Shitrit,1
84,Izhar  Shay,1
85,Michal Shir Segman,1
86,Amir Peretz,1
87,Zeev Elkin,1
88,Ram Shefa,1
89,Avi Dicter,1
90,Haim Katz,1
91,Meir Porush,1
92,Uri Maklev,1
93,Yitzhak Cohen,1
94,Pnina Tameno,1
95,Yaakov  Asher,1
96,Sharren Miriam Haskel,1
97,Yoav Ben Tzur,1
98,Yoav Kisch,1
99,Makhluf Miki Zohar,1
100,Yinon Azoulay,1
101,Michael  Malkieli,1
102,Yoav Gallant,1
103,Tali Ploskov,1
104,Yifat Shasha Biton,1
105,Eli Cohen,1
106,Ofir Akunis,1
107,Tzipi Hotovely,1
108,Yariv Levin,1
109,Orly Levi-Abekasis,1
110,Miri Miriam  Regev,1
111,Amir Ohana,1
112,Benjamin Netanyahu,1
113,Tzachi Hanegbi,1
114,Israel Katz,1
115,Moshe Abutbul,1
116,Yuval Steinitz,1
117,Meshulam Nahari,1
118,Aryeh Machluf Deri,1
119,Moshe Arbel ,1
120,Gavriel Ashkenazi,1
121,Moshe  Turpaz,0
122,Vladimir  Beliak,0
123,Eliyahu Hasid,1
124,Eliyahu Baruchi,1
125,Ruth  Wasserman Lande,1
126,Amit Halevi,1
127,Osnat Hila Mark,1
128,Shevah Stern,1
129,Yosef Taieb,1
130,Matti Yogev,1
131,Ayoob Kara,1
132,Yitzhak Ze'ev Pindrus,1
133,Rafael Peretz,1
134,Yael Ron Ben-Moshe,1
135,Ariel Kallner,1
136,Ilan Gilon,0
137,Nissim Vaturi,1
138,Uriel Busso,1
139,Michal Wunsh,1
140,Einav Kabla,1
141,Tehila Friedman,1
142,Hila  Shay Vazan,1
